Designator,Mid X,Mid Y,Rotation,Layer
U2,-8.342102,-29.209996,-90.0,top
C5,37.591998,-55.371996,90.0,top
R5,35.051998,-55.404996,90.0,top
R10,11.302998,-42.163996,0.0,top
C10,11.429998,-37.464996,0.0,top
U6,25.399998,-50.291996,0.0,top
U4,-5.130802,-31.565596,-90.0,top
C4,33.405502,-63.753996,0.0,top
R12,2.728498,-45.719996,180.0,top
C8,0.126998,-39.623996,-90.0,top
C3,19.811998,-38.099996,180.0,top
U9,5.714998,-39.623996,-90.0,top
C1,16.509998,-46.989996,180.0,top
J4,11.429998,-61.764996,180.0,top
C11,31.451002,-66.801996,0.0,top
C6,21.799002,-68.833996,0.0,top
U7,24.511002,-63.753996,180.0,top
J2,34.538998,-22.859996,0.0,top
U5,16.509998,-50.799996,-90.0,top
C2,19.811998,-40.639996,180.0,top
R11,8.254998,-45.719996,0.0,top
C9,31.451002,-60.705996,0.0,top
J1,-8.342102,-25.399996,90.0,top
J5,1.269998,-61.764996,180.0,top
